session_path,n_files_matched,n_files_deleted_or_would_delete,n_errors,total_size_gb,total_size_tb,dry_run
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\803496\2025-07-01_803496,46,46,0,258.88156035915017,0.2528140237882326,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\803496\2025-07-25_803496,124,124,0,777.1175516173244,0.7589038590012933,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\803496\2025-07-28_803496,124,124,0,736.210182711482,0.7189552565541817,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\803496\2025-07-29_803496,124,124,0,702.3908526226878,0.6859285670143436,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\803496\2025-07-30_803496,124,124,0,696.6764663606882,0.6803481116803596,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\803496\2025-07-31_803496,124,124,0,635.8530137985945,0.6209502087876899,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\803496\2025-08-01_803496,124,124,0,627.1457258164883,0.6124469978676643,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\804730\2025-07-07_804730,120,120,0,137.84182772040367,0.1346111598832067,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\804730\2025-07-25_804730,124,124,0,669.7241607308388,0.6540275007137097,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\804730\2025-07-28_804730,124,124,0,710.2200488448143,0.693574266450014,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\804730\2025-07-29_804730,124,124,0,700.2323364391923,0.6838206410538987,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\804730\2025-07-30_804730,124,124,0,616.8437876552343,0.6023865113820648,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\804730\2025-07-31_804730,124,124,0,655.5468447804451,0.6401824656059034,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\804730\2025-08-01_804730,124,124,0,696.3221070915461,0.680002057706588,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\804733\2025-07-14_804733,44,44,0,187.61129908263683,0.18321415926038753,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\804733\2025-07-25_804733,124,124,0,1046.2523706555367,1.0217308307182975,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\804733\2025-07-28_804733,124,124,0,584.1244087517262,0.5704339929216076,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\804733\2025-07-29_804733,124,124,0,684.3917997330427,0.6683513669267995,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\804733\2025-07-30_804733,124,124,0,626.5750962793827,0.6118897424603347,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\804733\2025-07-31_804733,124,124,0,627.7023489922285,0.6129905751877232,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\804733\2025-08-01_804733,124,124,0,678.5469970107079,0.6626435517682694,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\810196\2025-07-14_810196,44,44,0,204.0315334573388,0.19924954439193243,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\810196\2025-07-25_810196,124,124,0,1257.8895283937454,1.228407742572017,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\810196\2025-07-28_810196,124,124,0,673.6701894849539,0.6578810444189003,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\810196\2025-07-29_810196,124,124,0,755.1955126971006,0.7374956178682623,False
