session_path,file_path,file_name,size_bytes,size_gb,size_tb,status,error,dry_run
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\803496\2025-07-25_803496,\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\803496\2025-07-25_803496\809436_2025-07-25_13-02-10\instrument.json,instrument.json,30088,2.8021633625030518e-05,2.7364876586943865e-08,deleted,,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\803496\2025-07-28_803496,\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\803496\2025-07-28_803496\809436_2025-07-28_08-04-39\instrument.json,instrument.json,26931,2.5081448256969452e-05,2.449360181344673e-08,deleted,,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\803496\2025-07-29_803496,\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\803496\2025-07-29_803496\803496_2025-07-29_13-34-35\instrument.json,instrument.json,26931,2.5081448256969452e-05,2.449360181344673e-08,deleted,,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\803496\2025-07-30_803496,\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\803496\2025-07-30_803496\803496_2025-07-30_10-05-23\instrument.json,instrument.json,26931,2.5081448256969452e-05,2.449360181344673e-08,deleted,,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\803496\2025-07-31_803496,\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\803496\2025-07-31_803496\803496_2025-07-31_09-43-28\instrument.json,instrument.json,26931,2.5081448256969452e-05,2.449360181344673e-08,deleted,,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\803496\2025-08-01_803496,\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\803496\2025-08-01_803496\803496_2025-08-01_13-22-49\instrument.json,instrument.json,26931,2.5081448256969452e-05,2.449360181344673e-08,deleted,,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\804730\2025-07-25_804730,\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\804730\2025-07-25_804730\804730_2025-07-25_14-08-35\instrument.json,instrument.json,26931,2.5081448256969452e-05,2.449360181344673e-08,deleted,,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\804730\2025-07-28_804730,\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\804730\2025-07-28_804730\804730_2025-07-28_13-57-34\instrument.json,instrument.json,26931,2.5081448256969452e-05,2.449360181344673e-08,deleted,,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\804730\2025-07-29_804730,\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\804730\2025-07-29_804730\804730_2025-07-29_14-55-04\instrument.json,instrument.json,26931,2.5081448256969452e-05,2.449360181344673e-08,deleted,,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\804730\2025-07-30_804730,\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\804730\2025-07-30_804730\804730_2025-07-30_11-11-11\instrument.json,instrument.json,26931,2.5081448256969452e-05,2.449360181344673e-08,deleted,,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\804730\2025-07-31_804730,\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\804730\2025-07-31_804730\804730_2025-07-31_11-45-27\instrument.json,instrument.json,26931,2.5081448256969452e-05,2.449360181344673e-08,deleted,,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\804730\2025-08-01_804730,\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\804730\2025-08-01_804730\804730_2025-08-01_14-22-38\instrument.json,instrument.json,26931,2.5081448256969452e-05,2.449360181344673e-08,deleted,,False
