session_path,n_files_matched,n_files_deleted_or_would_delete,n_errors,total_size_gb,total_size_tb,dry_run
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\803496\2025-07-01_803496,0,0,0,0.0,0.0,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\803496\2025-07-25_803496,1,1,0,2.8021633625030518e-05,2.7364876586943865e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\803496\2025-07-28_803496,1,1,0,2.5081448256969452e-05,2.449360181344673e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\803496\2025-07-29_803496,1,1,0,2.5081448256969452e-05,2.449360181344673e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\803496\2025-07-30_803496,1,1,0,2.5081448256969452e-05,2.449360181344673e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\803496\2025-07-31_803496,1,1,0,2.5081448256969452e-05,2.449360181344673e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\803496\2025-08-01_803496,1,1,0,2.5081448256969452e-05,2.449360181344673e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\804730\2025-07-07_804730,0,0,0,0.0,0.0,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\804730\2025-07-25_804730,1,1,0,2.5081448256969452e-05,2.449360181344673e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\804730\2025-07-28_804730,1,1,0,2.5081448256969452e-05,2.449360181344673e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\804730\2025-07-29_804730,1,1,0,2.5081448256969452e-05,2.449360181344673e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\804730\2025-07-30_804730,1,1,0,2.5081448256969452e-05,2.449360181344673e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\804730\2025-07-31_804730,1,1,0,2.5081448256969452e-05,2.449360181344673e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\804730\2025-08-01_804730,1,1,0,2.5081448256969452e-05,2.449360181344673e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\804733\2025-07-14_804733,0,0,0,0.0,0.0,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\804733\2025-07-25_804733,1,1,0,2.5081448256969452e-05,2.449360181344673e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\804733\2025-07-28_804733,1,1,0,2.5081448256969452e-05,2.449360181344673e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\804733\2025-07-29_804733,1,1,0,2.5081448256969452e-05,2.449360181344673e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\804733\2025-07-30_804733,1,1,0,2.5081448256969452e-05,2.449360181344673e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\804733\2025-07-31_804733,1,1,0,2.5081448256969452e-05,2.449360181344673e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\804733\2025-08-01_804733,1,1,0,2.5081448256969452e-05,2.449360181344673e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\810196\2025-07-14_810196,0,0,0,0.0,0.0,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\810196\2025-07-25_810196,1,1,0,2.5081448256969452e-05,2.449360181344673e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\810196\2025-07-28_810196,1,1,0,2.5081448256969452e-05,2.449360181344673e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\810196\2025-07-29_810196,1,1,0,2.5081448256969452e-05,2.449360181344673e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\810196\2025-07-30_810196,1,1,0,2.5081448256969452e-05,2.449360181344673e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\810196\2025-07-31_810196,1,1,0,2.5081448256969452e-05,2.449360181344673e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\810196\2025-08-01_810196,1,1,0,2.5081448256969452e-05,2.449360181344673e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\structure_volume\810196\810196_2026-02-19_09-25-03,0,0,0,0.0,0.0,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\structure_volume\809043\2025-08-27_809043,0,0,0,0.0,0.0,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\structure_volume\809043\2025-12-04_809043_BigVolume,0,0,0,0.0,0.0,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\structure_volume\809044\2025-08-27_809044,0,0,0,0.0,0.0,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\structure_volume\809044\2025-12-04_809044_BigVolume,0,0,0,0.0,0.0,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\809047\2025-10-03_809047,0,0,0,0.0,0.0,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\809047\2025-10-29_809047,1,1,0,2.5081448256969452e-05,2.449360181344673e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\809047\2025-10-30_809047,1,1,0,2.5081448256969452e-05,2.449360181344673e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\809047\2025-10-31_809047,1,1,0,2.5081448256969452e-05,2.449360181344673e-08,True
